evrk_section_code,evrk_section_title,evrk_chapter_code,evrk_chapter_title,evrk_group_code,evrk_group_title,evrk_class_code,evrk_class_title,evrk_subclass_code,evrk_subclass_title,object_id
C,Apdirbamoji gamyba,16,"Medienos bei medienos ir kamštienos gaminių, išskyrus baldus, gamyba; gaminių iš šiaudų ir pynimo medžiagų gamyba",162,"Gaminių ir dirbinių iš medienos, kamštienos, šiaudų ir pynimo medžiagų gamyba",1620,"Gaminių ir dirbinių iš medienos, kamštienos, šiaudų ir pynimo medžiagų gamyba",162000,"Gaminių ir dirbinių iš medienos, kamštienos, šiaudų ir pynimo medžiagų gamyba",306
C,Apdirbamoji gamyba,16,"Medienos bei medienos ir kamštienos gaminių, išskyrus baldus, gamyba; gaminių iš šiaudų ir pynimo medžiagų gamyba",162,"Gaminių ir dirbinių iš medienos, kamštienos, šiaudų ir pynimo medžiagų gamyba",1621,Faneravimo dangos ir medienos plokščių gamyba,162100,Faneravimo dangos ir medienos plokščių gamyba,307
C,Apdirbamoji gamyba,16,"Medienos bei medienos ir kamštienos gaminių, išskyrus baldus, gamyba; gaminių iš šiaudų ir pynimo medžiagų gamyba",162,"Gaminių ir dirbinių iš medienos, kamštienos, šiaudų ir pynimo medžiagų gamyba",1621,Faneravimo dangos ir medienos plokščių gamyba,162120,Presuotos medienos gamyba,308
C,Apdirbamoji gamyba,16,"Medienos bei medienos ir kamštienos gaminių, išskyrus baldus, gamyba; gaminių iš šiaudų ir pynimo medžiagų gamyba",162,"Gaminių ir dirbinių iš medienos, kamštienos, šiaudų ir pynimo medžiagų gamyba",1629,"Kitų medienos gaminių gamyba; dirbinių iš kamštienos, šiaudų ir pynimo medžiagų gamyba",162900,"Kitų medienos gaminių gamyba; dirbinių iš kamštienos, šiaudų ir pynimo medžiagų gamyba",309
C,Apdirbamoji gamyba,17,Popieriaus ir popieriaus gaminių gamyba,172,Popieriaus ir kartoninių gaminių gamyba,1720,Popieriaus ir kartoninių gaminių gamyba,172000,Popieriaus ir kartoninių gaminių gamyba,310
C,Apdirbamoji gamyba,17,Popieriaus ir popieriaus gaminių gamyba,172,Popieriaus ir kartoninių gaminių gamyba,1721,Gofruotojo popieriaus ir kartono bei taros iš popieriaus ir kartono gamyba,172100,Gofruotojo popieriaus ir kartono bei taros iš popieriaus ir kartono gamyba,311
C,Apdirbamoji gamyba,17,Popieriaus ir popieriaus gaminių gamyba,172,Popieriaus ir kartoninių gaminių gamyba,1723,Popierinių raštinės reikmenų gamyba,172300,Popierinių raštinės reikmenų gamyba,312
C,Apdirbamoji gamyba,17,Popieriaus ir popieriaus gaminių gamyba,172,Popieriaus ir kartoninių gaminių gamyba,1729,Kitų popierinių ir kartoninių gaminių gamyba,172900,Kitų popierinių ir kartoninių gaminių gamyba,313
C,Apdirbamoji gamyba,18,Spausdinimas ir įrašytų laikmenų tiražavimas,181,Spausdinimas ir su spausdinimu susijusios paslaugos,1810,Spausdinimas ir su spausdinimu susijusios paslaugos,181000,Spausdinimas ir su spausdinimu susijusios paslaugos,314
C,Apdirbamoji gamyba,18,Spausdinimas ir įrašytų laikmenų tiražavimas,181,Spausdinimas ir su spausdinimu susijusios paslaugos,1814,Įrišimas ir susijusios paslaugos,181400,Įrišimas ir susijusios paslaugos,315
C,Apdirbamoji gamyba,19,Kokso ir rafinuotų naftos produktų gamyba,190,Kokso ir rafinuotų naftos produktų gamyba,1900,Kokso ir rafinuotų naftos produktų gamyba,190000,Kokso ir rafinuotų naftos produktų gamyba,316
C,Apdirbamoji gamyba,19,Kokso ir rafinuotų naftos produktų gamyba,192,Rafinuotų naftos produktų gamyba,1920,Rafinuotų naftos produktų gamyba,192010,Skystojo arba dujinio kuro gamyba,317
C,Apdirbamoji gamyba,19,Kokso ir rafinuotų naftos produktų gamyba,192,Rafinuotų naftos produktų gamyba,1920,Rafinuotų naftos produktų gamyba,192020,Tepalų ir kitų alyvų gamyba,318
C,Apdirbamoji gamyba,20,Chemikalų ir chemijos produktų gamyba,201,"Pagrindinių chemikalų, trąšų ir azoto junginių, pirminių plastikų ir pirminio sintetinio kaučiuko gamyba",2010,"Pagrindinių chemikalų, trąšų ir azoto junginių, pirminių plastikų ir pirminio sintetinio kaučiuko gamyba",201000,"Pagrindinių chemikalų, trąšų ir azoto junginių, pirminių plastikų ir pirminio sintetinio kaučiuko gamyba",319
F,Statyba,43,Specializuota statybos veikla,430,Specializuota statybos veikla,4300,Specializuota statybos veikla,430000,Specializuota statybos veikla,320
